id,daleveeydate,revenue
ca4718be-bc4b-4baf-b4fb-7026ef09827c,2023-11-01T12:00:00Z,1968.1
a5e3b353-37f2-4e97-a610-9954058da0df,2023-11-01T12:00:00Z,4316.43
e50b6651-b238-4569-98f0-efe5aa12d452,2023-11-01T12:00:00Z,1577.62
006b730f-2418-4d64-8b3d-6626da4cf58d,2023-11-01T12:00:00Z,4604.91
c4e7c9bf-d6b2-42f1-adad-28d0976fff0a,2023-11-01T12:00:00Z,2410.21
fb66171d-2427-402c-9558-bfe2ea701f2b,2023-11-01T12:00:00Z,1957.86
388c2689-a7ea-423b-8cba-88fd285ff211,2023-11-01T12:00:00Z,1170.11
1998a4c4-8783-449f-b0aa-caf04b1561d8,2023-11-01T12:00:00Z,3666.15
13c5b935-8aff-4423-b556-e554a531899c,2023-11-01T12:00:00Z,1757.28
07153c6f-1560-4a6f-aae5-c6aedb156322,2023-11-01T12:00:00Z,4489.68
213bc12e-96cb-4268-a2ae-c8406208d5fa,2023-11-01T12:00:00Z,4620.01
5771c900-8274-40b9-90be-fe5264e6915f,2023-11-01T12:00:00Z,268.65
